symbol,industry,sector,longBusinessSummary,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,dividendRate,dividendYield,payoutRatio,fiveYearAvgDividendYield,enterpriseValue,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,lastDividendValue,lastDividendDate,totalDebt,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins
AF.PA,Airlines,Industrials,"Air France-KLM SA, together with its subsidiaries, provides passenger and cargo transportation services and aircraft maintenance in Metropolitan France, Benelux, rest of Europe, and internationally. The company operates through Network, Maintenance, Transavia, and Other segments. It also offers airframe maintenance, electronic, mechanical, pneumatic, hydraulic, and other services. The company was founded in 1919 and is headquartered in Paris, France.",78113.0,8.0,3.0,9.0,10.0,7.0,,,,2.22,13662663680.0,6.952,11.794,7.69204,2.925217,1215993600.0,13511000064.0,-1664999936.0,1827000064.0,-0.517,0.037,0.18016
VIRP.PA,Drug Manufacturers - General,Healthcare,"Virbac SA manufactures and sells a range of products and services for companion animals and farm animals in France, Europe, Latin America, North America, Asia, Pacific, and Africa and the Middle East. The company offers a range of vaccines, dental hygiene, reproduction, dermatology, parasiticides, diagnostic, antibiotics, and aquaculture products; and veterinary medicines for anesthesia, geriatrics, behavior, and injectable micronutrients, as well as petfood and electronic identification. It serves veterinarians, farmers, and pet owners. Virbac SA was founded in 1968 and is headquartered in Carros, France.",5459.0,10.0,8.0,7.0,9.0,8.0,1.32,0.0042,0.0784,1.14,2903103232.0,302.0,400.0,316.52,1.32,1719273600.0,407001984.0,26752500.0,138703008.0,0.277,0.151,0.66660005
VCT.PA,Building Materials,Basic Materials,"Vicat S.A., together with its subsidiaries, engages in the production and sale of cement, ready-mixed concrete, and aggregates for construction industry. The company operates in three segments: Cement, Concrete & Aggregates, and Other Products & Services. The Cement segment offers various cement products for the general contractors, such as concrete mixers, manufacturers of precast concrete products, construction and public works contractors, local authorities, residential property developers or master masons, and construction material wholesalers or retail chains. The Concrete & Aggregates segment provides ready-mixed concrete comprising standard and special concrete for the construction and public works contractors, including construction groups, house building companies, farmers, or private individuals; and aggregates, such as sands and gravel products for the ready-mixed concrete and precast concrete products manufacturers. The Other Products & Services segment is involved in the transportation of cement, ready-mixed concrete, and aggregates; provision of construction chemicals for use in exterior wall coatings, mortar and traditional concretes, tiling adhesives, and thermal insulation products, as well as for the products used to repair floors and walls; and production of specialty papers and paper bags for the agro-food, chemical, and construction sectors. It operates in France, Switzerland, Italy, the United States, Brazil, India, Kazakhstan, Turkey, Egypt, Senegal, Mali, and Mauritania. The company was incorporated in 1853 and is headquartered in L'Isle-d'Abeau, France.",9955.0,10.0,9.0,7.0,8.0,9.0,2.0,0.049099997,0.3344,5.27,3687614976.0,29.35,41.55,37.085,2.0,1714348800.0,2107785984.0,117930128.0,570177024.0,0.105,0.013,0.35156
LAT.PA,Aerospace & Defense,Industrials,"Latécoère S.A. designs, manufactures, assembles, and installs aerostructures and interconnection systems in Europe, the United States, Africa, Asia, and internationally. The company operates through Aerostructures and Interconnection systems segments. It also supplies doors, fuselage, wings, empennage, and connecting rods, as well as manufactures wing sub-assemblies and fuselage components, such as sections, tail cones, front fairings, and watertight bulkheads. In addition, the company offers interconnection systems components comprising of avionics racks, test benches, EWIS and space harnesses; cameras, screens, data transmission solutions; and other electronics. The company was founded in 1917 and is headquartered in Toulouse, France. Latécoère S.A. is a subsidiary of SCP SKN HOLDING I SAS.",5918.0,,,,,,,,,5.01,393636448.0,0.0054,0.0178,0.00882,0.048234,1214352000.0,439052992.0,-50255752.0,-51243000.0,,0.452,0.34669
GBT.PA,Medical Devices,Healthcare,"Guerbet SA engages in the development and marketing of contrast media products, delivery systems, medical devices, and related solutions. The company offers Optiray and Xenetix, which are non-ionic monomeric and iodinated contrast agents; Telebrix Gastro, a meglumine ioxitalamate solution; Conray, an iothalamate meglumine injection; Micropaque/Microtrast, a diagnostic imaging interconnected solution; Dotarem, a gadoteric acid-gadoterate meglumine, and Artirem, a gadoteric acid that acts as a contrast agent for MRI, as well as prefilled syringes, injectors, accessories, and consumables for MRI, CT, and Cath Lab. It also provides digital solutions, such as Contrast&Care, an injection management solution; Dose&Care, an X-ray dose management solution; and icobrain, a cloud-based AI solution to quantify disease-specific brain structures for acute and chronic neurological conditions on MR and CT, as well as OptiProtect services. In addition, the company provides products for interventional radiology, including Lipiodol ethyl esters of iodinated fatty acids of poppyseed oil; Vectorio, a mixing and injection system for conventional trans-arterial chemoembolization; Patent Blue V, a blue dye; Axessio, a peripheral micro guidewire; and SeQure and DraKon, which are microcatheters. Further, it offers Hydra Vision, a digital imaging system for urological, gastroenterological, and gynecological treatment, as well as planning and diagnostic procedures; and urology accessories and consumables. Guerbet SA was incorporated in 1926 and is headquartered in Villepinte, France.",2920.0,6.0,7.0,8.0,7.0,8.0,0.5,0.0182,0.2033,2.67,710595328.0,23.2,40.25,26.371,0.5,1719792000.0,403919008.0,8417000.0,70425000.0,4.438,0.119,0.74818003
TOUP.PA,Rental & Leasing Services,Industrials,"Touax SCA engages in the operational leasing, sale, and management of mobile standardized equipment worldwide. The company operates through three divisions: Freight Railcars, River Barges, and Shipping Containers. It also offers freight railcars, including intermodal wagons, car-carrier railcars, coil carrying railcars, sliding wall wagons, hopper cars, and powder railcars. In addition, the company leases and sells river barges to logistics companies, railway operators, and industrial groups. Further, it is involved in fleet management; transports barges to river basins; and provision of insurance and technical expertise related to river transport. The company manufactures and sells modular constructions, industrialized buildings, and prefabricated elements. As of December 31, 2023, the company owned and managed a fleet of 327,922 twenty-foot equivalent unit containers. Touax SCA was founded in 1853 and is headquartered in La Défense, France.",247.0,,,,,,0.12,0.033299997,0.756,3.91,408528288.0,3.38,5.52,3.73,0.12,1720396800.0,351054016.0,40207248.0,8763000.0,-0.229,-0.017,0.52597
ALTA.PA,REIT - Residential,Real Estate,"Altarea is a Real Estate Investment Manager. It is the French leader in low-carbon urban transformation, with the most comprehensive real estate offering to serve the city and its users. In each of its activities, the Group has all the expertise and recognised brands needed to design, develop, market and manage tailor-made real estate products. Altarea is listed in compartment A of Euronext Paris. Altarea SCA was founded in 1994 and is headquartered in Paris, Ile-de-France, France.",2129.0,7.0,8.0,8.0,10.0,8.0,8.0,0.076,1.8832,8.13,5948861440.0,66.8,111.8,96.478,8.0,1718064000.0,2956000000.0,110150000.0,126700000.0,,-0.042,0.18491
JCQ.PA,Steel,Basic Materials,"Jacquet Metals SA engages in the buying and trading of special metals in Germany, France, North America, Spain, Italy, the Netherlands, and internationally. It operates through JACQUET, STAPPERT, and IMS Group segment. The company distributes stainless-steel quarto plates, which are used in water, environment, energy, mechanical and forged metal construction, chemical and agri-food, gas processing and storage, pharmaceutical, and cosmetic sectors. It also distributes long stainless-steel products in the form of bars, profiles, welded tubes, and fittings that are used in the agri-food, chemical, petrochemical, pipefitting, energy, transport, and decoration sectors. In addition, the company distributes carbon, alloy, and stainless-steel engineering steels, and tool steels used in mechanical engineering, public works machinery, agricultural machinery, lifting machinery, car and HGV suppliers, and energy sectors. Jacquet Metals SA was founded in 1962 and is based in Saint-Priest, France.",3353.0,9.0,5.0,8.0,10.0,7.0,0.2,0.0117999995,0.7407,3.75,620836288.0,13.5,20.0,16.5472,0.2,1719964800.0,622000000.0,104119504.0,211423008.0,11.042,-0.051,0.21462
ICAD.PA,REIT - Diversified,Real Estate,Icade is a full-service real estate company with expertise in both commercial property investment (portfolio worth 6.8bn on a full consolidation basis as of 12/31/2023) and property development (2023 economic revenue of 1.3bn) that operates throughout France. Icade has forged longterm partnerships to respond to emerging trends in the industry. It has made climate issues and the preservation of biodiversity central to its business model to reinvent real estate and contribute to more sustainable cities. It is listed as a SIIC on Euronext Paris and its leading shareholder is the Caisse des Dépôts group.,1035.0,7.0,7.0,2.0,1.0,4.0,4.84,0.20899999,5.9154997,10.69,5427028992.0,19.36,32.0,22.3312,2.42,1719878400.0,4763100160.0,3516849920.0,265300000.0,,-0.002,0.36465
BEN.PA,Recreational Vehicles,Consumer Cyclical,"Bénéteau S.A. designs, manufactures, and sells boats and leisure homes in France and internationally. It provides boats under the Beneteau, Jeanneau, Lagoon, Prestige, Four Winns, Scarab, WellCraft, EXCESS, and Delphia brand names; and leisure homes under the IRM, O'HARA, and Coco Sweet brand names. The company also offers bandofbaots.com, a community services platform for purchase and sale of new or used boats; lease purchase, credit, and insurance services through SGB Finance; and inventory and retail finance solutions. Bénéteau S.A. was founded in 1884 and is headquartered in Saint-Gilles-Croix-de-Vie, France. Bénéteau S.A. operates as a subsidiary of BERI 21 S.A.",8000.0,10.0,7.0,7.0,8.0,7.0,0.73,0.0838,0.6636,1.77,890318464.0,7.49,14.38,8.6266,0.73,1718150400.0,448004000.0,-53748752.0,81379000.0,-0.579,-0.315,0.59498
